country_iso,country_name,year,lithium_import_t,lithium_export_t,cobalt_import_t,cobalt_export_t,nickel_import_t,nickel_export_t,graphite_import_t,graphite_export_t
DEU,Germany,2022,3491.824219,196015.724209,2331.969058,2310.27026,60314.758292,4688.193241,66460.948422,15190.269707
DEU,Germany,2023,1010128.123397,216724.487413,2224.8607420000003,2301.404164,51546.065712,3022.1065980000003,43139.829218,12193.454473
DEU,Germany,2024,1243538.2093239997,174288.684761,2027.197034,1994.782853,50171.732907,2605.516161,50487.404246,15703.579307
JPN,Japan,2017,535733.338452,18318.335284000004,0.208285,3502.225,3629717.929,23473.2,51949.819711,1148.548159
JPN,Japan,2018,462962.315696,18603.255,9706.813,2682.489,3710597.238584,16502.308,57879.272585,837.815519
JPN,Japan,2019,396868.665854,26249.56829,9165.814,3004.269,3890933.359,19135.234,48374.867416,924.64271
JPN,Japan,2020,308679.559081,36040.283174,8097.138,3748.219,2551230.335804,28694.515,34778.531253,927.885461
JPN,Japan,2021,491555.810402,40619.786206,0.0,3141.271,3132920.207,16312.365,45967.60216,1045.921572
JPN,Japan,2022,2233387.680233,564609.758165,7478.68,2490.993,2557765.642606,10614.547,41692.117301,1101.252962
JPN,Japan,2023,2413286.671013,1077320.145479,6548.597,3549.444,1167088.060225,22427.368,36707.508909,637.938951
JPN,Japan,2024,527066.786888,92266.15769,4482.326,2952.97,638401.32576,23771.055,29653.269305,954.631805
JPN,Japan,2025,200317.984487,42525.146772,3609.8,2803.768,792660.0500640001,30107.619,31619.10553,927.366575
KOR,Rep. of Korea,2017,20754.777550000003,177189.07436,0.02827,2087.85398,3398015.770635,6199.4805,40326.258396,409.96223
KOR,Rep. of Korea,2018,198775.29239,189246.37841,2797.09465,609.707701,3378585.8482,3331.433,58343.187113,646.3028499999999
KOR,Rep. of Korea,2019,38577.80653,202145.13186,466.69096,2817.68616,3192518.982711,2175.87878,0.0,191.79359
KOR,Rep. of Korea,2020,184414.497926,157501.10705,6512.322676,5826.49046,2958880.352805,1842.23815,0.0,238.216478
KOR,Rep. of Korea,2021,215181.47091499995,161923.397279,0.0191,736.44092,3216085.988162,2549.1579,52420.953572,114.373778
KOR,Rep. of Korea,2022,219788.061456,169523.835281,10776.956355,1322.70615,2687510.773116,3457.370825,48358.414749,201.198689
KOR,Rep. of Korea,2023,138513.091653,120576.65419,12352.959508,621.08934,3035545.7663720003,5293.6433,0.0,199.487406
KOR,Rep. of Korea,2024,304503.31350199995,132566.019191,8097.077547999999,114.723275,2692847.222932,3343.7314,28800.924966,2691.937207
MEX,Mexico,2017,42312.11973,22788.510595,0.0,0.189804,3341.237633,0.0,1941.620587,3520.238557
MEX,Mexico,2018,3.222642,11162.638304,0.0,0.009364,3331.750214,0.0,0.0,1939.375723
MEX,Mexico,2019,0.0,14175.314805,0.0,0.0,203.963456,0.0,2347.930749,0.0
MEX,Mexico,2020,0.0,13104.406642999998,0.0,0.0,776.816613,8.055363,2013.052445,0.0
MEX,Mexico,2021,73189.646916,0.0,0.0,0.0,1884.297,0.0,1122.567438,3822.75
MEX,Mexico,2022,104139.864,90810.406,4.991,0.0,2255.733,0.0,4041.562,6152.964
MEX,Mexico,2023,102226.728,74984.755,3.031,0.0,1787.519,0.0,3640.614,2882.65
MEX,Mexico,2024,96240.636,104786.395,4.428,0.0,2233.206,0.0,3899.672,5240.751
MEX,Mexico,2025,96659.125,109134.924,0.0,0.0,1844.371,0.0,3461.667,6044.946
NLD,Netherlands,2017,155963.1929,122406.495,4.8471660000000005,1179.160617,19024.719318,48942.618507,13999.704,12649.998
NLD,Netherlands,2018,178367.657,148256.793,2149.666659,1012.970171,49889.819441,42059.96343900001,5189.856,7493.546983
NLD,Netherlands,2019,136698.880601,150549.09399999998,2233.724242,2183.410638,34742.667238999995,46422.645,11720.794,9198.856
NLD,Netherlands,2020,116734.895988,124615.17923,3007.58891,3183.1593820000003,35315.339351,38419.3388,12285.577,12053.791
NLD,Netherlands,2021,112258.029718,133070.341444,2.429,2668.905072,35688.542,43038.014,9737.662,11597.188
NLD,Netherlands,2022,131546.173286,149814.41700000002,4347.518797,3267.772187,54825.645736,37650.295000000006,15902.314,28715.54
NLD,Netherlands,2023,127194.548538,92777.581538,2374.933954,1765.386851,35623.772258000005,50018.293,10715.461,11676.573013
NLD,Netherlands,2024,143414.09689899997,99862.492121,2310.911282,1753.6927260000002,27904.669995,34850.266156000005,8936.849209,11103.469307
PER,Peru,2017,13022.8729,15.69881,0.0,0.0,81.629,0.26269,0.0,0.0
PER,Peru,2018,12420.67327,637.544046,0.07769,0.0,87.7878,0.4062,0.0,1.02
PER,Peru,2019,15762.27659,318.31158,0.16998,0.0,80.22009,1.3258,0.0,0.0
PER,Peru,2020,9391.029369999998,1115.70129,1.22163,0.0,76.42799000000001,0.2,91.880826,0.0
PER,Peru,2021,10231.54462,2748.93796,0.0,0.0,97.00684,0.87764,72.03492999999999,0.0
PER,Peru,2022,4459.364528,7.0,0.968361,0.0,109.5351,1.2134,56.898547,0.0
PER,Peru,2023,2880.64904,53700.96832,1.55445,0.0,84.12877999999999,5.4,97.573579,0.6197999999999999
PER,Peru,2024,3184.885081,0.0,1.35051,0.0,94.40237,5.88244,0.0,0.4
RUS,Russian Federation,2017,395990.22335,374604.47992,0.0,5093.9235,11737.318808,257429.854,3608.17241,3096.3051830000004
RUS,Russian Federation,2018,825566.465546,465756.15923,68.24572,6451.189,617.42335,268964.6562,2359.75295,4935.434190000001
RUS,Russian Federation,2019,7413.824009999999,397141.776,95.79499,8571.032278,242.17279,212318.668,3260.95679,2067.12034
RUS,Russian Federation,2020,7469.533895,326781.640135,59.471503,7984.603599999999,272.10213100000004,285484.72189,2744.66629,15220.71
RUS,Russian Federation,2021,269257.258431,354387.83744200005,0.145,3806.52201,215.071552,297054.404174,3881.99772,7567.0499
SWE,Sweden,2017,3875.177765,119266.947708,3.001788,61.791167,22785.0,221.0,1400.56336,267.137866
SWE,Sweden,2018,5577.590574,20.158228,198.954749,86.12155800000001,23630.483991,258.192905,1705.0196299999998,295.79622600000005
SWE,Sweden,2019,6478.896064,91437.713193,258.017731,101.09721,23532.106376,425.255187,1553.795346,230.108065
SWE,Sweden,2020,6660.156437999999,1.341463,138.39685,60.067281,16829.0,964.28591,1412.506528,198.540002
SWE,Sweden,2021,5767.107063,8.571429,0.0,38.910563,15653.536088,169.429735,1712.093714,256.29989
SWE,Sweden,2022,8566.146564,44832.084468,260.518365,52.647327,14071.436088,212.163014,1544.8235,234.29983
SWE,Sweden,2023,7709.658151,51218.590585,208.58938,20.08006,15164.028822,667.024107,1446.492102,225.125908
SWE,Sweden,2024,7756.969744,63176.996191,180.09360999999998,46.815554,19399.017152,475.987675,1342.965149,281.125728
ZAF,South Africa,2017,52605.06859,579.10366,124.812,2232.97869,3675.27656,6170.04685,922.65551,42.14302
ZAF,South Africa,2018,76961.31457999999,115.77569,9.58136,1819.74066,984.68648,4392.45078,708.48457,4.126189999999999
ZAF,South Africa,2019,68495.58360999999,384.62427,25.46182,2097.13981,76.95088,10538.2605,751.81677,4.722189999999999
ZAF,South Africa,2020,20482.33616,143.84305,47.10123,928.30692,453.48866,11628.466,689.35433,13.39241
ZAF,South Africa,2021,31878.26683,23563.34635,21.0,955.35544,1443.85291,26482.48022,803.10145,9.25902
ZAF,South Africa,2022,23156.97236,22197.09563,43.74929,1174.0212,2584.97321,29088.82913,1027.6286,63.16273
ZAF,South Africa,2023,4304.21401,414399.8187900001,14.16482,1136.42958,1073.87686,28644.894,754.3181999999999,86.29033
ZAF,South Africa,2024,5014.847540000001,954514.04276,24.93386,809.25026,1561.88131,32445.15035,958.61565,3.2409
ZAF,South Africa,2025,4592.00542,1023359.03546,3.2771,899.8057699999999,1594.22732,35689.769720000004,915.7562,6.47349
